,phone_names, phone_discount ,phone_price
0,Redmi Note 7S," Flat ₹4,000 Off ","Now ₹9,999"
1,Redmi Note 7 Pro," Extra ₹1,000 Off  Exc ","From ₹11,999"
2,realme 5 Pro," From ₹12,999* ","*Incl ₹1,000 off on Prepaid"
3,Redmi 7A," From ₹4,999 ",Best Phone Under ₹5k
4,Motorola One Action (4GB|128GB), Flat ₹5000 Off ,"Now ₹11,999"
5,vivo Z1 Pro," Upto ₹5,000 Off ","From ₹12,990"
6,Redmi K20 Pro (6GB|128GB)," Flat ₹4,000 Off ","Now ₹24,999"
7,realme C2," Upto ₹2,000 Off ","From ₹5,999"
8,ROG 2," Flat ₹3,000 Off ","From 37,999"
9,vivo V15 Pro (6GB|128GB)," Extra ₹3,000 Off  Exc ","Now ₹23,990"
10,Samsung Galaxy Note 10," Extra ₹6,000 Off Exc ","Now ₹69,999"
11,Samsung Galaxy S9 Plus ," Flat ₹35,001 Off ","Now ₹34,999"
12,Google Pixel 3A (4GB|64GB)," Flat ₹15,001 Off ","Now ₹29,999"
13,Samsung Galaxy S10," Extra ₹6,000 Off  Exc ","From 61,900"
14,Samsung Galaxy S9," Flat ₹32,501 Off ","Now ₹29,999"
15,Samsung Galaxy Note 10 Plus," Extra ₹6,000 Off  Exc ","Now ₹79,999"
